,tweet_id,retweet_count,favorite_count,retweet_status
204, 823322678127919110,4637,17437,original tweet
205, 822975315408461824,3958,19139,original tweet
206, 822859134160621569,2622,14576,original tweet
207, 822610361945911296,3423,16327,original tweet
208, 822462944365645825,17209,31800,original tweet
211, 821522889702862852,2030,8871,original tweet
212, 821407182352777218,5053,13075,original tweet
213, 821149554670182400,2320,9718,original tweet
214, 821044531881721856,2636,14021,original tweet
215, 820749716845686786,11525,34984,original tweet
217, 820314633777061888,648,3706,original tweet
219, 819924195358416896,5607,14305,original tweet
220, 819588359383371776,2271,10606,original tweet
221, 819238181065359361,462,2550,original tweet
223, 819006400881917954,21794,49960,original tweet
225, 818614493328580609,2982,10971,original tweet
226, 818536468981415936,2873,12127,original tweet
227, 818259473185828864,2621,12197,original tweet
228, 817908911860748288,919,4241,original tweet
229, 817777686764523521,3084,11901,original tweet
231, 817415592588222464,1131,6267,original tweet
232, 817171292965273600,2326,9690,original tweet
233, 817056546584727552,1927,9517,original tweet
234, 816816676327063552,2361,11071,original tweet
235, 816450570814898180,9366,33961,original tweet
236, 816091915477250048,2500,9927,original tweet
238, 815966073409433600,9907,25057,original tweet
239, 815736392542261248,2625,10937,original tweet
240, 815390420867969024,4407,11467,original tweet
241, 814638523311648768,3130,12511,original tweet
242, 814530161257443328,2156,9629,original tweet
244, 813812741911748608,16267,40402,original tweet
245, 813217897535406080,8476,20783,original tweet
246, 813187593374461952,5096,22085,original tweet
247, 813157409116065792,2557,8588,original tweet
248, 813130366689148928,513,4968,original tweet
249, 813112105746448384,3225,11515,original tweet
250, 813081950185472002,3220,10989,original tweet
251, 813051746834595840,8503,23337,original tweet
253, 812503143955202048,1424,6787,original tweet
254, 812372279581671427,4252,15224,original tweet
255, 811744202451197953,1884,8429,original tweet
256, 811627233043480576,3650,14265,original tweet
257, 810984652412424192,1655,5927,original tweet
258, 810657578271330305,3057,12192,original tweet
259, 810254108431155201,3901,16380,original tweet
261, 809220051211603969,6554,22246,original tweet
262, 808838249661788160,3536,11271,original tweet
263, 808501579447930884,3007,12595,original tweet
265, 808001312164028416,4098,14015,original tweet
266, 807106840509214720,56625,107015,original tweet
267, 807010152071229440,4418,14514,original tweet
269, 806542213899489280,2752,11363,original tweet
270, 806219024703037440,1388,7145,original tweet
271, 805932879469572096,2209,9178,original tweet
273, 805487436403003392,2929,9773,original tweet
274, 804738756058218496,4480,15326,original tweet
276, 803773340896923648,3220,11203,original tweet
277, 803638050916102144,4828,12270,original tweet
279, 802952499103731712,2336,10085,original tweet
280, 802600418706604034,1714,7938,original tweet
281, 802323869084381190,6808,18124,original tweet
284, 801854953262350336,275,1958,original tweet
285, 801285448605831168,960,6802,original tweet
287, 800859414831898624,113,778,original tweet
288, 800751577355128832,3214,11701,original tweet
289, 800459316964663297,2489,10538,original tweet
290, 800388270626521089,3265,12456,original tweet
291, 800141422401830912,2980,17092,original tweet
293, 799422933579902976,2213,8965,original tweet
294, 799297110730567681,3227,11065,original tweet
295, 798933969379225600,5203,14712,original tweet
303, 797971864723324932,3652,13018,original tweet
304, 797236660651966464,7726,22328,original tweet
306, 796759840936919040,3562,13256,original tweet
307, 796484825502875648,2042,8472,original tweet
309, 796125600683540480,1846,2666,original tweet
310, 796080075804475393,2703,9469,original tweet
311, 795464331001561088,27728,55683,original tweet
312, 795076730285391872,6288,18139,original tweet
313, 794926597468000259,2697,11492,original tweet
314, 794332329137291264,3088,10686,original tweet
315, 793962221541933056,5711,18910,original tweet
317, 793500921481273345,2786,11953,original tweet
318, 793271401113350145,2763,9677,original tweet
319, 793241302385262592,3812,11780,original tweet
320, 793210959003287553,3301,9997,original tweet
321, 793180763617361921,2310,7740,original tweet
322, 793150605191548928,1984,6909,original tweet
323, 793120401413079041,4551,14202,original tweet
324, 792883833364439040,4964,12666,original tweet
325, 792394556390137856,4998,15128,original tweet
328, 791672322847637504,3661,13129,original tweet
329, 791312159183634433,2963,9841,original tweet
330, 790987426131050500,2483,11089,original tweet
332, 790581949425475584,8183,22473,original tweet
333, 790277117346975746,3732,14081,original tweet
334, 789986466051088384,2704,10369,original tweet
335, 789903600034189313,4858,11673,original tweet
336, 789599242079838210,2279,7620,original tweet
337, 789314372632018944,57281,118468,original tweet
338, 789268448748703744,3014,10196,original tweet
339, 788908386943430656,14409,30653,original tweet
341, 788178268662984705,2488,8100,original tweet
343, 787810552592695296,3540,9717,original tweet
344, 787397959788929025,3300,12120,original tweet
347, 786664955043049472,2996,11957,original tweet
348, 786363235746385920,4072,12189,original tweet
349, 786233965241827333,5571,17178,original tweet
351, 785872687017132033,2130,7489,original tweet
352, 785533386513321988,2334,10183,original tweet
353, 785264754247995392,1911,8128,original tweet
354, 784826020293709826,3712,11310,original tweet
355, 784431430411685888,1491,6329,original tweet
356, 784057939640352768,12953,33505,original tweet
357, 783821107061198850,2269,8209,original tweet
358, 783466772167098368,2608,9468,original tweet
360, 783085703974514689,2565,9112,original tweet
361, 782747134529531904,1604,8310,original tweet
362, 782598640137187329,2184,8694,original tweet
364, 781661882474196992,3129,11634,original tweet
365, 781524693396357120,6426,23163,original tweet
366, 781251288990355457,2458,9428,original tweet
367, 780931614150983680,8536,24192,original tweet
368, 780800785462489090,1505,6141,original tweet
369, 780543529827336192,2032,7040,original tweet
371, 780192070812196864,2589,9712,original tweet
372, 780074436359819264,5815,13723,original tweet
373, 779377524342161408,3613,9831,original tweet
374, 779123168116150273,4207,13206,original tweet
375, 778990705243029504,8437,22342,original tweet
376, 778764940568104960,426,955,original tweet
377, 778650543019483137,1729,6430,original tweet
378, 778408200802557953,5023,15135,original tweet
379, 778383385161035776,1271,6515,original tweet
380, 778039087836069888,3065,9417,original tweet
382, 777684233540206592,3403,12518,original tweet
383, 777621514455814149,2910,9742,original tweet
385, 776477788987613185,3249,9858,original tweet
386, 776218204058357768,18497,33345,original tweet
387, 776113305656188928,5068,13102,original tweet
389, 775733305207554048,4627,15413,original tweet
390, 775364825476165632,3472,8295,original tweet
392, 774757898236878852,2035,9462,original tweet
393, 774314403806253056,6478,24167,original tweet
394, 773922284943896577,1999,7110,original tweet
395, 773670353721753600,1501,5935,original tweet
397, 773247561583001600,3699,10414,original tweet
398, 772877495989305348,4501,9555,original tweet
400, 772193107915964416,1612,6665,original tweet
401, 772117678702071809,848,4165,original tweet
402, 772102971039580160,1065,4448,original tweet
403, 771770456517009408,3924,13356,original tweet
404, 771380798096281600,5912,11746,original tweet
405, 771136648247640064,3357,10223,original tweet
406, 771014301343748096,1782,7032,original tweet
407, 770772759874076672,1626,5749,original tweet
408, 770655142660169732,2013,8130,original tweet
409, 770293558247038976,1718,6923,original tweet
410, 770069151037685760,2651,8385,original tweet
411, 769695466921623552,1926,7101,original tweet
412, 769212283578875904,1969,5980,original tweet
414, 768609597686943744,1382,4580,original tweet
416, 768193404517830656,4080,12157,original tweet
417, 767754930266464257,6221,17814,original tweet
418, 767191397493538821,4406,13643,original tweet
